cocktail_name,alcoholic,category,cocktail_image,cocktail_glass,iba,instructions,ingredient_1_name,ingredient_1_id,ingredient_2_name,ingredient_2_id,ingredient_3_name,ingredient_3_id,ingredient_4_name,ingredient_4_id,ingredient_5_name,ingredient_5_id,ingredient_6_name,ingredient_6_id,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6
57 Chevy with a White License Plate,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,,Fill a rocks glass with ice. Add white creme de cacao and vodka. Stir.,Creme de Cacao,97,Vodka,273,,null,,null,,null,,null,1 oz white,1 oz,,,,
Zorro,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/kvvd4z1485621283.jpg,Coffee Mug,,Add all and pour black coffee and add whipped cream on top.,Sambuca,232,Bailey's irish cream,30,White Creme de Menthe,279,,null,,null,,null,2 cl,2 cl,2 cl,,,
Mudslinger,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/hepk6h1504885554.jpg,Punch bowl,,Add all contents to a large jug or punch bowl. Stir well!,Southern Comfort,242,Orange juice,195,Pepsi Cola,212,,null,,null,,null,750 ml,1 L,750 ml,,,
Absolut Summertime,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,Absolut Citron,4,Sweet and sour,257,Sprite,244,Soda water,240,Lemon,160,,null,1 1/2 oz,3/4 oz,1/2 oz,3 oz,1 slice,
Gideon's Green Dinosaur,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/p5r0tr1503564636.jpg,Collins glass,,Add all ingredients in collins glass with ice and stir.,Dark rum,104,Vodka,273,Triple sec,266,Tequila,262,Melon liqueur,183,Mountain Dew,188,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,Fill with
Cosmopolitan,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Cocktail glass,Contemporary Classics,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Absolut Citron,4,Lime juice,171,Cointreau,85,Cranberry juice,92,,null,,null,1 1/4 oz,1/4 oz,1/4 oz,1/4 cup,,
Aviation,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Cocktail glass,Unforgettables,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Gin,125,lemon juice,161,maraschino liqueur,180,,null,,null,,null,4.5 cl,1.5 cl,1.5 cl,,,
White Lady,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jofsaz1504352991.jpg,Cocktail glass,Unforgettables,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,Gin,125,Triple Sec,266,Lemon Juice,161,,null,,null,,null,4cl,3cl,2cl,,,
Applejack,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Cocktail glass,,"Add all ingredients into mixing glass, chill and strain into cocktail glass",Jack Daniels,149,Midori melon liqueur,184,Sour mix,241,,null,,null,,null,1 oz,1/2 oz,2 oz,,,
Berry Deadly,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xqutpr1461867477.jpg,Collins Glass,,Add all ingredients to large bowl. Stir gently. Serve chilled.,Everclear,115,Wine,282,Orange juice,195,Kool-Aid,157,,null,,null,2 pint,1 bottle Boone Strawberry Hill,1/2 gal,1 gal Tropical Berry,,
